sma_one,sma_two,result
12,45,0.030377151937176182
10,46,0.032028930094624965
10,47,0.0320823600914432
11,46,0.032166215609307595
11,47,0.0325481804121173
12,46,0.0308802571451849
12,47,0.031037224156705307
10,48,0.03311617164987392
10,49,0.03240850897544812
11,48,0.03268059854377652
11,49,0.03197640853050243
12,48,0.032001570727033635
12,49,0.03164392500948003
9,46,0.031894156676005064
9,47,0.0318658750237233
9,48,0.03208692703443428
9,49,0.03153749182039526
9,50,0.03146352162872637
10,50,0.03200340087819382
11,50,0.03172607480883085
21,51,0.029574205715505893
20,49,0.029718158726802776
20,50,0.029349610066830338
20,51,0.02910459964625188
20,52,0.02933431988801304
20,53,0.029199598844354763
21,49,0.029047957873485988
21,50,0.0293662724815986
21,52,0.029086624406308537
21,53,0.02886588336927505
22,49,0.029853024985851944
22,50,0.029886412129639637
22,51,0.028869419971699187
22,52,0.029284124355075308
22,53,0.02964898417802876
21,48,0.02896608605478013
22,48,0.02974083293204868
23,48,0.029037754133855537
23,49,0.029343501327649592
23,50,0.02894821503344623
23,51,0.029078691175875106
23,52,0.029281913288426838
8,61,0.03155492009617604
7,58,0.030345780679506336
7,60,0.03062667115224981
7,62,0.029521760796125975
7,64,0.030021861528370962
8,58,0.03109475904231884
8,60,0.031647810345602316
8,62,0.031038360753976767
8,64,0.030080890537389195
9,58,0.03164895195162528
9,60,0.03193063916332106
9,62,0.03109056089340705
9,64,0.031019442854652406
8,57,0.031177356248906718
8,59,0.03094179219930682
8,63,0.030640420061735563
9,57,0.03167868948800619
9,59,0.031306565816783365
9,61,0.03145771507064347
9,63,0.03104668602475535
10,57,0.03258525215345415
10,59,0.03180681094946641
10,61,0.032157460878483264
10,63,0.0320378737290534
9,54,0.032286799369249566
9,56,0.03242125225794517
10,54,0.03276665569654191
10,56,0.03254975541772223
10,58,0.03234970377952625
10,60,0.032422641264136784
11,54,0.03236087793712799
11,56,0.032559722176266084
11,58,0.03220182871978623
11,60,0.032591925208719695
9,51,0.031923133257685275
9,53,0.03144575800236464
9,55,0.03229816335903126
10,51,0.032006248496138624
10,53,0.03203513517405245
